# x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
-42.503,35.0372,1.0662,1.0662,0.2877543540505403
-42.5674,35.1016,1.0662,1.0662,0.13664186438961493
-42.6319,35.1661,1.0662,1.0662,-0.014725711472252398
-42.6963,35.2306,1.0662,1.0662,-0.16652393598401935
-42.7608,35.295,1.0662,1.0662,-0.31927431937630235
-42.8253,35.3595,1.0662,1.0662,-0.47205642794482255
-42.8897,35.4239,1.0662,1.0662,-0.35518501586021445
-42.9542,35.4884,1.0662,1.0662,-0.23866603996583954
-43.0186,35.5529,1.0662,1.0662,-0.12343018502119282
-43.0831,35.6173,1.0662,1.0662,-0.008855408918332891
-43.0831,35.6818,1.0416,1.0416,0.0601047925822346
-43.1476,35.7462,1.0613,1.0613,0.1065696782783812
-43.212,35.8107,1.0662,1.0662,0.1527523441226622
-43.2765,35.8752,1.0695,1.0695,0.19820373292150073
-43.3409,35.9396,1.0662,1.0662,0.24223027758290358
-43.3409,36.0041,1.0416,1.0416,0.15077088274888129
-43.4054,36.0685,1.0613,1.0613,-0.14302383749123154
-43.4699,36.133,1.0792,1.0792,-0.44113648451164567
-43.5343,36.1975,1.0597,1.0597,-0.7480233437193539
-43.5343,36.2619,1.0613,1.0613,-0.9657364979361008
-43.5988,36.3264,1.0597,1.0597,-1.024288940117924
-43.5988,36.3908,1.0416,1.0416,-0.9240524999366504
-43.6632,36.4553,1.0613,1.0613,-0.7942178226137192
-43.6632,36.5198,1.0299,1.0299,-0.7126871986553148
-43.6632,36.5842,1.0011,1.0011,-0.6400384588797942
-43.7277,36.6487,1.0349,1.0349,-0.3983002018383151
-43.7277,36.7131,1.013,1.013,-0.20501721658690067
-43.7277,36.7776,0.9942,0.9942,-0.010092197919859444
-43.7277,36.8421,0.9751,0.9751,0.1851043691851901
-43.7922,36.9065,1.013,1.013,0.23988200451035882
-43.7922,36.971,0.9942,0.9942,0.011130046189519363
-43.7922,37.0354,0.9786,0.9786,-0.21696574342644803
-43.7922,37.0999,0.9663,0.9663,-0.4461801356914833
-43.7922,37.1644,0.9574,0.9574,-0.6750985824921175
-43.7922,37.2288,0.9521,0.9521,-0.8005244572958786
-43.8566,37.2933,1.0147,1.0147,-0.7905148358325254
-43.8566,37.3577,1.0147,1.0147,-0.7896257056289551
-43.8566,37.4222,1.0147,1.0147,-0.793875688840013
-43.8566,37.4867,1.0147,1.0147,-0.8032669243206833
-43.8566,37.5511,1.0147,1.0147,-0.617133187577743
-43.8566,37.6156,1.0147,1.0147,-0.3878744847512395
-43.8566,37.68,1.0147,1.0147,-0.1591990847684754
-43.8566,37.7445,1.0147,1.0147,0.06898075879025278
-43.7922,37.809,0.9521,0.9521,0.32873832834444033
-43.7922,37.8734,0.9574,0.9574,0.1353024572804624
-43.7922,37.9379,0.9663,0.9663,-0.0585619511167395
-43.7922,38.0023,0.9786,0.9786,-0.25243042265833465
-43.7922,38.0668,0.9942,0.9942,-0.44667010407371677
-43.7277,38.1313,0.9521,0.9521,-0.6635738392156297
-43.7277,38.1957,0.9751,0.9751,-0.7393466686689186
-43.7277,38.2602,1.0011,1.0011,-0.8176113075026803
-43.7277,38.3246,1.0299,1.0299,-0.8962720543429316
-43.6632,38.3891,1.0062,1.0062,-1.0028340384241796
-43.6632,38.4536,1.0416,1.0416,-1.0341769459695787
