# x_m,y_m,w_tr_right_m,w_tr_left_m
-55.2376,21.2904,1.0730,1.0730
-55.3027,21.3555,1.0530,1.0530
-55.3677,21.4205,1.0396,1.0396
-55.3677,21.4856,1.0328,1.0328
-55.4328,21.5506,1.0396,1.0396
-55.4978,21.6157,1.0530,1.0530
-55.5629,21.6807,1.0730,1.0730
-55.6279,21.7458,1.0730,1.0730
-55.6930,21.8108,1.0530,1.0530
-55.7580,21.8759,1.0396,1.0396
-55.7580,21.9409,1.0328,1.0328
-55.8231,22.0060,1.0328,1.0328
-55.8881,22.0710,1.0396,1.0396
-55.9532,22.1361,1.0530,1.0530
-56.0182,22.2011,1.0730,1.0730
-56.0833,22.2662,1.0730,1.0730
-56.1483,22.3312,1.0530,1.0530
-56.2134,22.3963,1.0396,1.0396
-56.2134,22.4613,1.0328,1.0328
-56.2784,22.5264,1.0396,1.0396
-56.3435,22.5914,1.0530,1.0530
-56.4085,22.6565,1.0730,1.0730
-56.4736,22.7215,1.0730,1.0730
-56.5386,22.7866,1.0530,1.0530
-56.6037,22.8516,1.0396,1.0396
-56.6037,22.9167,1.0328,1.0328
-56.6687,22.9817,1.0328,1.0328
-56.7338,23.0468,1.0396,1.0396
-56.7988,23.1118,1.0530,1.0530
-56.8639,23.1769,1.0730,1.0730
-56.9289,23.2419,1.0730,1.0730
-56.9940,23.3070,1.0530,1.0530
-57.0590,23.3720,1.0396,1.0396
-57.0590,23.4371,1.0328,1.0328
-57.1241,23.5021,1.0328,1.0328
-57.1891,23.5672,1.0396,1.0396
-57.2542,23.6322,1.0530,1.0530
-57.3192,23.6973,1.0730,1.0730
-57.3843,23.7623,1.0730,1.0730
-57.4493,23.8274,1.0530,1.0530
-57.5144,23.8924,1.0396,1.0396
-57.5144,23.9575,1.0328,1.0328
-57.5794,24.0225,1.0396,1.0396
-57.6445,24.0876,1.0530,1.0530
-57.7095,24.1526,1.0530,1.0530
-57.7746,24.2177,1.0396,1.0396
-57.7746,24.2827,1.0328,1.0328
-57.8396,24.3478,1.0396,1.0396
-57.9047,24.4128,1.0530,1.0530
-57.9697,24.4779,1.0530,1.0530
-58.0348,24.5429,1.0396,1.0396
-58.0348,24.6080,1.0396,1.0396
-58.0998,24.6730,1.0530,1.0530
-58.1649,24.7381,1.0530,1.0530
-58.2299,24.8031,1.0396,1.0396
-58.2299,24.8682,1.0530,1.0530
-58.2950,24.9332,1.0530,1.0530
-58.3600,24.9983,1.0396,1.0396
-58.3600,25.0633,1.0530,1.0530
-58.4251,25.1284,1.0530,1.0530
-58.4901,25.1934,1.0396,1.0396
-58.4901,25.2585,1.0530,1.0530
-58.5552,25.3235,1.0413,1.0413
-58.5552,25.3886,1.0413,1.0413
-58.6202,25.4536,1.0530,1.0530
-58.6202,25.5187,1.0413,1.0413
-58.6853,25.5837,1.0713,1.0713
-58.7503,25.6488,1.0413,1.0413
-58.7503,25.7138,1.0530,1.0530
-58.8154,25.7789,1.0413,1.0413
-58.8154,25.8439,1.0413,1.0413
-58.8804,25.9090,1.0413,1.0413
-58.8804,25.9740,1.0413,1.0413
-58.9455,26.0391,1.0413,1.0413
-58.9455,26.1041,1.0413,1.0413
-59.0105,26.1692,1.0413,1.0413
-59.0105,26.2342,1.0463,1.0463
-59.0105,26.2993,1.0242,1.0242
-59.0756,26.3643,1.0680,1.0680
-59.0756,26.4294,1.0413,1.0413
-59.1406,26.4944,1.0463,1.0463
-59.1406,26.5595,1.0463,1.0463
-59.2057,26.6245,1.0413,1.0413
-59.2057,26.6896,1.0680,1.0680
-59.2707,26.7546,1.0242,1.0242
-59.2707,26.8197,1.0463,1.0463
-59.2707,26.8847,1.0463,1.0463
-59.3358,26.9498,1.0242,1.0242
-59.3358,27.0148,1.0463,1.0463
-59.4008,27.0799,1.0052,1.0052
-59.4008,27.1449,1.0242,1.0242
-59.4008,27.2100,1.0463,1.0463
-59.4659,27.2750,1.0122,1.0122
-59.4659,27.3401,1.0413,1.0413
-59.4659,27.4051,1.0680,1.0680
-59.5309,27.4702,1.0242,1.0242
-59.5309,27.5352,1.0413,1.0413
-59.5309,27.6003,1.0530,1.0530
-59.5960,27.6653,1.0052,1.0052
-59.5960,27.7304,1.0242,1.0242
-59.5960,27.7954,1.0463,1.0463
-59.6610,27.8605,1.0052,1.0052
-59.6610,27.9255,1.0242,1.0242
-59.6610,27.9906,1.0463,1.0463
-59.7261,28.0556,1.0052,1.0052
-59.7261,28.1207,1.0242,1.0242
-59.7261,28.1857,1.0463,1.0463
-59.7261,28.2508,1.0463,1.0463
-59.7911,28.3158,1.0242,1.0242
-59.7911,28.3809,1.0463,1.0463
-59.7911,28.4459,1.0463,1.0463
-59.8562,28.5110,1.0242,1.0242
-59.8562,28.5760,1.0463,1.0463
-59.8562,28.6411,1.0530,1.0530
-59.9212,28.7061,1.0242,1.0242
-59.9212,28.7712,1.0463,1.0463
-59.9212,28.8362,1.0680,1.0680
-59.9863,28.9013,1.0242,1.0242
-59.9863,28.9663,1.0463,1.0463
-59.9863,29.0314,1.0680,1.0680
-60.0513,29.0964,1.0242,1.0242
-60.0513,29.1615,1.0463,1.0463
-60.0513,29.2265,1.0680,1.0680
-60.1164,29.2916,1.0242,1.0242
-60.1164,29.3566,1.0463,1.0463
-60.1164,29.4217,1.0680,1.0680
-60.1814,29.4867,1.0242,1.0242
-60.1814,29.5518,1.0463,1.0463
-60.1814,29.6168,1.0680,1.0680
-60.2465,29.6819,1.0242,1.0242
-60.2465,29.7469,1.0463,1.0463
-60.2465,29.8120,1.0680,1.0680
-60.3115,29.8770,1.0242,1.0242
-60.3115,29.9421,1.0463,1.0463
-60.3115,30.0071,1.0680,1.0680
-60.3766,30.0722,1.0242,1.0242
-60.3766,30.1372,1.0463,1.0463
-60.3766,30.2023,1.0680,1.0680
-60.4416,30.2673,1.0242,1.0242
-60.4416,30.3324,1.0463,1.0463
-60.4416,30.3974,1.0680,1.0680
-60.5067,30.4625,1.0242,1.0242
-60.5067,30.5275,1.0463,1.0463
-60.5067,30.5926,1.0680,1.0680
-60.5717,30.6576,1.0242,1.0242
-60.5717,30.7227,1.0463,1.0463
-60.5717,30.7877,1.0680,1.0680
-60.6368,30.8528,1.0242,1.0242
-60.6368,30.9178,1.0463,1.0463
-60.6368,30.9829,1.0680,1.0680
-60.7018,31.0479,1.0242,1.0242
-60.7018,31.1130,1.0463,1.0463
-60.7018,31.1780,1.0680,1.0680
-60.7669,31.2431,1.0242,1.0242
-60.7669,31.3081,1.0463,1.0463
-60.7669,31.3732,1.0680,1.0680
-60.8319,31.4382,1.0242,1.0242
-60.8319,31.5033,1.0463,1.0463
-60.8319,31.5683,1.0680,1.0680
-60.8970,31.6334,1.0242,1.0242
-60.8970,31.6984,1.0463,1.0463
-60.8970,31.7635,1.0680,1.0680
-60.9620,31.8285,1.0242,1.0242
-60.9620,31.8936,1.0463,1.0463
-60.9620,31.9586,1.0680,1.0680
-61.0271,32.0237,1.0242,1.0242
-61.0271,32.0887,1.0463,1.0463
-61.0271,32.1538,1.0680,1.0680
-61.0921,32.2188,1.0242,1.0242
-61.0921,32.2839,1.0463,1.0463
-61.0921,32.3489,1.0680,1.0680
-61.1572,32.4140,1.0242,1.0242
-61.1572,32.4790,1.0463,1.0463
-61.1572,32.5441,1.0680,1.0680
-61.2222,32.6091,1.0242,1.0242
-61.2222,32.6742,1.0463,1.0463
-61.2222,32.7392,1.0680,1.0680
-61.2873,32.8043,1.0242,1.0242
-61.2873,32.8693,1.0463,1.0463
-61.2873,32.9344,1.0680,1.0680
-61.3523,32.9994,1.0242,1.0242
-61.3523,33.0645,1.0463,1.0463
-61.3523,33.1295,1.0680,1.0680
-61.4174,33.1946,1.0242,1.0242
-61.4174,33.2596,1.0463,1.0463
-61.4174,33.3247,1.0680,1.0680
-61.4824,33.3897,1.0242,1.0242
-61.4824,33.4548,1.0463,1.0463
-61.4824,33.5198,1.0680,1.0680
-61.5475,33.5849,1.0242,1.0242
-61.5475,33.6499,1.0463,1.0463
-61.5475,33.7150,1.0680,1.0680
-61.6125,33.7800,1.0242,1.0242
-61.6125,33.8451,1.0463,1.0463
-61.6125,33.9101,1.0680,1.0680
-61.6776,33.9752,1.0242,1.0242
-61.6776,34.0402,1.0463,1.0463
-61.6776,34.1053,1.0680,1.0680
-61.7426,34.1703,1.0242,1.0242
-61.7426,34.2354,1.0463,1.0463
-61.7426,34.3004,1.0680,1.0680
-61.8077,34.3655,1.0242,1.0242
-61.8077,34.4305,1.0463,1.0463
-61.8077,34.4956,1.0680,1.0680
-61.8727,34.5606,1.0242,1.0242
-61.8727,34.6257,1.0463,1.0463
-61.8727,34.6907,1.0680,1.0680
-61.9378,34.7558,1.0242,1.0242
-61.9378,34.8208,1.0463,1.0463
-61.9378,34.8859,1.0680,1.0680
-62.0028,34.9509,1.0242,1.0242
-62.0028,35.0160,1.0463,1.0463
-62.0028,35.0810,1.0680,1.0680
-62.0679,35.1461,1.0242,1.0242
-62.0679,35.2111,1.0463,1.0463
-62.0679,35.2762,1.0680,1.0680
-62.1329,35.3412,1.0242,1.0242
-62.1329,35.4063,1.0463,1.0463
-62.1329,35.4713,1.0680,1.0680
-62.1980,35.5364,1.0242,1.0242
-62.1980,35.6014,1.0463,1.0463
-62.1980,35.6665,1.0680,1.0680
-62.2630,35.7315,1.0242,1.0242
-62.2630,35.7966,1.0463,1.0463
-62.2630,35.8616,1.0680,1.0680
-62.3281,35.9267,1.0242,1.0242
-62.3281,35.9917,1.0463,1.0463
-62.3281,36.0568,1.0680,1.0680
-62.3931,36.1218,1.0242,1.0242
-62.3931,36.1869,1.0463,1.0463
-62.3931,36.2519,1.0680,1.0680
-62.4582,36.3170,1.0242,1.0242
-62.4582,36.3820,1.0463,1.0463
-62.4582,36.4471,1.0680,1.0680
-62.5232,36.5121,1.0242,1.0242
-62.5232,36.5772,1.0463,1.0463
-62.5232,36.6422,1.0680,1.0680
-62.5883,36.7073,1.0242,1.0242
-62.5883,36.7723,1.0463,1.0463
-62.5883,36.8374,1.0680,1.0680
-62.6533,36.9024,1.0242,1.0242
-62.6533,36.9675,1.0463,1.0463
-62.6533,37.0325,1.0680,1.0680
-62.7184,37.0976,1.0242,1.0242
-62.7184,37.1626,1.0463,1.0463
-62.7184,37.2277,1.0680,1.0680
-62.7834,37.2927,1.0242,1.0242
-62.7834,37.3578,1.0463,1.0463
-62.7834,37.4228,1.0680,1.0680
-62.8485,37.4879,1.0242,1.0242
-62.8485,37.5529,1.0463,1.0463
-62.8485,37.6180,1.0680,1.0680
-62.9135,37.6830,1.0242,1.0242
-62.9135,37.7481,1.0463,1.0463
-62.9135,37.8131,1.0680,1.0680
-62.9786,37.8782,1.0242,1.0242
-62.9786,37.9432,1.0463,1.0463
-62.9786,38.0083,1.0680,1.0680
-63.0436,38.0733,1.0242,1.0242
-63.0436,38.1384,1.0463,1.0463
-63.0436,38.2034,1.0680,1.0680
-63.1087,38.2685,1.0242,1.0242
-63.1087,38.3335,1.0463,1.0463
-63.1087,38.3986,1.0680,1.0680
-63.1737,38.4636,1.0242,1.0242
-63.1737,38.5287,1.0463,1.0463
-63.1737,38.5937,1.0680,1.0680
-63.2388,38.6588,1.0242,1.0242
-63.2388,38.7238,1.0463,1.0463
-63.2388,38.7889,1.0680,1.0680
-63.3038,38.8539,1.0242,1.0242
-63.3038,38.9190,1.0463,1.0463
-63.3038,38.9840,1.0680,1.0680
-63.3689,39.0491,1.0242,1.0242
-63.3689,39.1141,1.0463,1.0463
-63.3689,39.1792,1.0680,1.0680
-63.4339,39.2442,1.0242,1.0242
-63.4339,39.3093,1.0463,1.0463
-63.4339,39.3743,1.0680,1.0680
-63.4990,39.4394,1.0242,1.0242
-63.4990,39.5044,1.0463,1.0463
-63.4990,39.5695,1.0680,1.0680
-63.5640,39.6345,1.0242,1.0242
-63.5640,39.6996,1.0463,1.0463
-63.5640,39.7646,1.0680,1.0680
-63.6291,39.8297,1.0242,1.0242
-63.6291,39.8947,1.0463,1.0463
-63.6291,39.9598,1.0680,1.0680
-63.6941,40.0248,1.0242,1.0242
-63.6941,40.0899,1.0463,1.0463
-63.6941,40.1549,1.0680,1.0680
-63.7592,40.2200,1.0242,1.0242
-63.7592,40.2850,1.0463,1.0463
-63.7592,40.3501,1.0680,1.0680
-63.8242,40.4151,1.0242,1.0242
-63.8242,40.4802,1.0463,1.0463
-63.8242,40.5452,1.0680,1.0680
-63.8893,40.6103,1.0242,1.0242
-63.8893,40.6753,1.0463,1.0463
-63.8893,40.7404,1.0680,1.0680
-63.9543,40.8054,1.0242,1.0242
-63.9543,40.8705,1.0463,1.0463
-63.9543,40.9355,1.0680,1.0680
-64.0194,41.0006,1.0242,1.0242
-64.0194,41.0656,1.0463,1.0463
-64.0194,41.1307,1.0680,1.0680
-64.0844,41.1957,1.0242,1.0242
-64.0844,41.2608,1.0463,1.0463
-64.0844,41.3258,1.0680,1.0680
-64.1495,41.3909,1.0242,1.0242
-64.1495,41.4559,1.0463,1.0463
-64.1495,41.5210,1.0680,1.0680
-64.2145,41.5860,1.0242,1.0242
-64.2145,41.6511,1.0463,1.0463
-64.2145,41.7161,1.0680,1.0680
-64.2796,41.7812,1.0242,1.0242
-64.2796,41.8462,1.0463,1.0463
-64.2796,41.9113,1.0680,1.0680
-64.3446,41.9763,1.0242,1.0242
-64.3446,42.0414,1.0463,1.0463
-64.3446,42.1064,1.0680,1.0680
-64.4097,42.1715,1.0242,1.0242
-64.4097,42.2365,1.0463,1.0463
-64.4097,42.3016,1.0680,1.0680
-64.4747,42.3666,1.0242,1.0242
-64.4747,42.4317,1.0463,1.0463
-64.4747,42.4967,1.0680,1.0680
-64.5398,42.5618,1.0242,1.0242
-64.5398,42.6268,1.0463,1.0463
-64.5398,42.6919,1.0680,1.0680
-64.6048,42.7569,1.0242,1.0242
-64.6048,42.8220,1.0463,1.0463
-64.6048,42.8870,1.0680,1.0680
-64.6699,42.9521,1.0242,1.0242
-64.6699,43.0171,1.0463,1.0463
-64.6699,43.0822,1.0680,1.0680
-64.7349,43.1472,1.0242,1.0242
-64.7349,43.2123,1.0463,1.0463
-64.7349,43.2773,1.0680,1.0680
-64.8000,43.3424,1.0242,1.0242
-64.8000,43.4074,1.0463,1.0463
-64.8000,43.4725,1.0680,1.0680
-64.8650,43.5375,1.0242,1.0242
-64.8650,43.6026,1.0413,1.0413
-64.8650,43.6676,1.0530,1.0530
-64.8650,43.7327,1.0463,1.0463
-64.9301,43.7977,1.0242,1.0242
-64.9301,43.8628,1.0463,1.0463
-64.9301,43.9278,1.0463,1.0463
-64.9951,43.9929,1.0242,1.0242
-64.9951,44.0579,1.0463,1.0463
-64.9951,44.1230,1.0530,1.0530
-65.0602,44.1880,1.0242,1.0242
-65.0602,44.2531,1.0413,1.0413
-65.0602,44.3181,1.0530,1.0530
-65.0602,44.3832,1.0463,1.0463
-65.0602,44.4482,1.0242,1.0242
-65.0602,44.5133,1.0052,1.0052
-65.1252,44.5783,1.0463,1.0463
-65.1252,44.6434,1.0242,1.0242
-65.1252,44.7084,1.0052,1.0052
-65.1252,44.7735,0.9895,0.9895
-65.1252,44.8385,0.9771,0.9771
-65.1252,44.9036,0.9681,0.9681
-65.1252,44.9686,0.9627,0.9627
-65.1252,45.0337,0.9609,0.9609
-65.1252,45.0987,0.9609,0.9609
-65.1252,45.1638,0.9627,0.9627
-65.1252,45.2288,0.9681,0.9681
-65.1252,45.2939,0.9771,0.9771
-65.1252,45.3589,0.9895,0.9895
-65.0602,45.4240,0.9427,0.9427
-65.0602,45.4890,0.9627,0.9627
-65.0602,45.5541,0.9859,0.9859
-65.0602,45.6191,1.0122,1.0122
-64.9951,45.6842,0.9842,0.9842
-64.9951,45.7492,1.0174,1.0174
-64.9951,45.8143,1.0530,1.0530
-64.9951,45.8793,1.0174,1.0174
-64.9301,45.9444,1.0396,1.0396
-64.8650,46.0094,1.0530,1.0530
-64.8000,46.0745,1.0530,1.0530
-64.7349,46.1395,1.0396,1.0396
-64.7349,46.2046,1.0328,1.0328
-64.6699,46.2696,1.0328,1.0328
-64.6048,46.3347,1.0396,1.0396
-64.5398,46.3997,1.0530,1.0530
-64.4747,46.4648,1.0730,1.0730
-64.4097,46.5298,1.0779,1.0779
-64.3446,46.5949,1.0779,1.0779
-64.2796,46.6599,1.0779,1.0779
-64.2145,46.7250,1.0730,1.0730
-64.1495,46.7900,1.0530,1.0530
-64.0844,46.7900,1.0328,1.0328
-64.0194,46.8551,1.0396,1.0396
-63.9543,46.9201,1.0530,1.0530
-63.8893,46.9201,1.0174,1.0174
-63.8242,46.9201,0.9842,0.9842
-63.7592,46.9201,0.9536,0.9536
-63.6941,46.9852,0.9859,0.9859
-63.6291,46.9852,0.9627,0.9627
-63.5640,46.9852,0.9427,0.9427
-63.4990,46.9852,0.9260,0.9260
-63.4339,47.0502,0.9771,0.9771
-63.3689,47.0502,0.9681,0.9681
-63.3038,47.0502,0.9627,0.9627
-63.2388,47.0502,0.9609,0.9609
-63.1737,47.0502,0.9609,0.9609
-63.1087,47.0502,0.9609,0.9609
-63.0436,47.0502,0.9627,0.9627
-62.9786,47.0502,0.9681,0.9681
-62.9135,47.0502,0.9771,0.9771
-62.8485,46.9852,0.9260,0.9260
-62.7834,46.9852,0.9427,0.9427
-62.7184,46.9852,0.9627,0.9627
-62.6533,46.9852,0.9859,0.9859
-62.5883,46.9852,1.0122,1.0122
-62.5232,46.9201,0.9842,0.9842
-62.4582,46.9201,1.0122,1.0122
-62.3931,46.9201,1.0413,1.0413
-62.3281,46.9201,1.0713,1.0713
-62.2630,46.8551,1.0413,1.0413
-62.1980,46.8551,1.0713,1.0713
-62.1329,46.7900,1.0413,1.0413
-62.0679,46.7900,1.0530,1.0530
-62.0028,46.7250,1.0530,1.0530
-61.9378,46.6599,1.0396,1.0396
-61.8727,46.6599,1.0396,1.0396
-61.8077,46.5949,1.0530,1.0530
-61.7426,46.5298,1.0396,1.0396
-61.6776,46.5298,1.0328,1.0328
-61.6125,46.4648,1.0396,1.0396
-61.5475,46.3997,1.0530,1.0530
-61.4824,46.3347,1.0530,1.0530
