# x_m,y_m,w_tr_right_m,w_tr_left_m
-50.5413,14.7018,0.8790,0.8790
-50.5413,14.6438,0.8790,0.8790
-50.4833,14.5859,0.8790,0.8790
-50.4833,14.5279,0.8790,0.8790
-50.4254,14.4700,0.8790,0.8790
-50.4254,14.4120,0.8790,0.8790
-50.3674,14.3540,0.8836,0.8836
-50.3674,14.2961,0.8790,0.8790
-50.3094,14.2381,0.9034,0.9034
-50.3094,14.1802,0.8790,0.8790
-50.2515,14.1222,0.9034,0.9034
-50.1935,14.0642,0.8790,0.8790
-50.1935,14.0063,0.8836,0.8836
-50.1356,13.9483,0.8790,0.8790
-50.1356,13.8904,0.8790,0.8790
-50.0776,13.8324,0.8790,0.8790
-50.0776,13.7744,0.8790,0.8790
-50.0196,13.7165,0.8790,0.8790
-50.0196,13.6585,0.8790,0.8790
-49.9617,13.6006,0.8836,0.8836
-49.9617,13.5426,0.8790,0.8790
-49.9037,13.4846,0.9034,0.9034
-49.9037,13.4267,0.8790,0.8790
-49.8458,13.3687,0.9034,0.9034
-49.7878,13.3108,0.8790,0.8790
-49.7878,13.2528,0.8836,0.8836
-49.7298,13.1948,0.8790,0.8790
-49.7298,13.1369,0.8790,0.8790
-49.6719,13.0789,0.8790,0.8790
-49.6719,13.0210,0.8790,0.8790
-49.6139,12.9630,0.8836,0.8836
-49.6139,12.9050,0.8790,0.8790
-49.5560,12.8471,0.9034,0.9034
-49.5560,12.7891,0.8790,0.8790
-49.4980,12.7312,0.9034,0.9034
-49.4400,12.6732,0.8790,0.8790
-49.4400,12.6152,0.8836,0.8836
-49.3821,12.5573,0.8790,0.8790
-49.3821,12.4993,0.8790,0.8790
-49.3241,12.4414,0.8790,0.8790
-49.3241,12.3834,0.8790,0.8790
-49.2662,12.3254,0.8836,0.8836
-49.2662,12.2675,0.8790,0.8790
-49.2082,12.2095,0.9034,0.9034
-49.2082,12.1516,0.8790,0.8790
-49.1502,12.0936,0.9034,0.9034
-49.0923,12.0356,0.8790,0.8790
-49.0923,11.9777,0.8836,0.8836
-49.0343,11.9197,0.8790,0.8790
-49.0343,11.8618,0.8790,0.8790
-48.9764,11.8038,0.8836,0.8836
-48.9764,11.7458,0.8790,0.8790
-48.9184,11.6879,0.9034,0.9034
-48.9184,11.6299,0.8681,0.8681
-48.8604,11.5720,0.8836,0.8836
-48.8025,11.5140,0.8790,0.8790
-48.8025,11.4560,0.8790,0.8790
-48.7445,11.3981,0.8836,0.8836
-48.7445,11.3401,0.8790,0.8790
-48.6866,11.2822,0.9034,0.9034
-48.6866,11.2242,0.8681,0.8681
-48.6286,11.1662,0.8836,0.8836
-48.5706,11.1083,0.8790,0.8790
-48.5706,11.0503,0.8790,0.8790
-48.5127,10.9924,0.8836,0.8836
-48.5127,10.9344,0.8681,0.8681
-48.4547,10.8764,0.8836,0.8836
-48.3968,10.8185,0.8790,0.8790
-48.3968,10.7605,0.8790,0.8790
-48.3388,10.7026,0.8836,0.8836
-48.3388,10.6446,0.8681,0.8681
-48.2808,10.5866,0.8836,0.8836
-48.2229,10.5287,0.8836,0.8836
-48.2229,10.4707,0.8790,0.8790
-48.1649,10.4128,0.9034,0.9034
-48.1070,10.3548,0.8790,0.8790
-48.1070,10.2968,0.8836,0.8836
-48.0490,10.2389,0.8836,0.8836
-47.9910,10.1809,0.8681,0.8681
-47.9910,10.1230,0.8836,0.8836
-47.9331,10.0650,0.8836,0.8836
-47.8751,10.0070,0.8681,0.8681
-47.8751,9.9491,0.8836,0.8836
-47.8172,9.8911,0.8836,0.8836
-47.7592,9.8332,0.8681,0.8681
-47.7592,9.7752,0.8836,0.8836
-47.7012,9.7172,0.8836,0.8836
-47.6433,9.6593,0.8681,0.8681
-47.6433,9.6013,0.8836,0.8836
-47.5853,9.5434,0.8836,0.8836
-47.5274,9.4854,0.8681,0.8681
-47.5274,9.4274,0.8836,0.8836
-47.4694,9.3695,0.8836,0.8836
-47.4114,9.3115,0.8681,0.8681
-47.4114,9.2536,0.8836,0.8836
-47.3535,9.1956,0.8973,0.8973
-47.2955,9.1376,0.8836,0.8836
-47.2376,9.0797,0.8681,0.8681
-47.2376,9.0217,0.8973,0.8973
-47.1796,8.9638,0.8836,0.8836
-47.1216,8.9058,0.8681,0.8681
-47.1216,8.8478,0.8836,0.8836
-47.0637,8.7899,0.8836,0.8836
-47.0057,8.7319,0.8681,0.8681
-47.0057,8.6740,0.8836,0.8836
-46.9478,8.6160,0.8973,0.8973
-46.8898,8.5580,0.8836,0.8836
-46.8318,8.5001,0.8681,0.8681
-46.8318,8.4421,0.8836,0.8836
-46.7739,8.3842,0.8836,0.8836
-46.7159,8.3262,0.8681,0.8681
-46.7159,8.2682,0.8836,0.8836
-46.6580,8.2103,0.8973,0.8973
-46.6000,8.1523,0.8836,0.8836
-46.5420,8.0944,0.8681,0.8681
-46.5420,8.0364,0.8836,0.8836
-46.4841,7.9784,0.8836,0.8836
-46.4261,7.9205,0.8681,0.8681
-46.4261,7.8625,0.8836,0.8836
-46.3682,7.8046,0.8973,0.8973
-46.3102,7.7466,0.8836,0.8836
